Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,AIRBAND,108,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,"108-137Mhz, 25k steps (8.33k for EU, old 50k)",,,,
1,AIR Ground Control,121.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,,,,,
2,AIR Emergencey,121.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Aircraft Emergency and Distress (VHF Guard) ,,,,
3,AIR Ground Control,121.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,,,,,
4,AIR ELT Training,121.775,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Emergency Locator Transmitter (ELT) Training Beacons ,,,,
5,AIR Ground Control,121.9,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,,,,,
6,AIR AvSup,121.95,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Aviation Support ,,,,
7,AIR Flt Watch,122,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,En Route Flight Advisory Service,,,,
8,AIR Flt Watch Wx,122.2,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Watch Weather ,,,,
9,AIR FAA,122.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Unicom ,,,,
10,AIR FAA,122.725,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Unicom ,,,,
11,AIR Air-Air,122.75,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Fixed Wing Aircraft air-to-air ,,,,
12,AIR AvSup,122.775,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Aviation Support ,,,,
13,AIR FAA,122.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Unicom ,,,,
14,AIR AvSup,122.85,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,"Multicom, Aviation Support ",,,,
15,AIR SAR Train,122.9,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,"Multicom, Search and Rescue Training ",,,,
16,AIR Resource Man,122.925,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,"Multicom - Special Use, Natural resource management ",,,,
17,AIR FAA Control,122.95,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Unicom - Controlled Airports ,,,,
18,AIR FAA,122.975,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Unicom ,,,,
19,AIR FAA,123,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Unicom ,,,,
20,AIR Air-Air Helo,123.025,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Helicopter Air-to-Air ,,,,
21,AIR FAA,123.05,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Unicom ,,,,
22,AIR FAA,123.075,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Unicom ,,,,
23,AIR SAR,123.1,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,"Search and Rescue primary, ATC for special events secondary ",,,,
24,AIR FltTest 125,123.125,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test itinerant ,,,,
25,AIR FltTest 150,123.15,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test itinerant ,,,,
26,AIR FltTest 175,123.175,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test itinerant ,,,,
27,AIR FltTest 200,123.2,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
28,AIR FltTest 225,123.225,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
29,AIR FltTest 250,123.25,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
30,AIR FltTest 275,123.275,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
31,AIR AvSup,123.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Aviation Support ,,,,
32,AIR FltTest 325,123.325,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
33,AIR FltTest 350,123.35,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
34,AIR FltTest 375,123.375,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
35,AIR FltTest 400,123.4,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test itinerant ,,,,
36,AIR FltTest 425,123.425,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test itinerant ,,,,
37,AIR FltTest 450,123.45,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test/Unofficial Air-to-Air ,,,,
38,AIR FltTest 475,123.475,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
39,AIR Air-Air Other,123.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,"Balloons, Parachutes, Gliders, Drones, Etc",,,,
40,AIR Air-Air Other,123.4,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,"Balloons, Parachutes, Gliders, Drones, Etc",,,,
41,AIR Air-Air Other,123.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,"Balloons, Parachutes, Gliders, Drones, Etc",,,,
42,AIR FltTest 525,123.525,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,25,,50W,Flight Test ,,,,
