Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,American Association of Railroads,0.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,"159-162MHz, 12.5k steps (6.25k for NXDN, old 25k)",,,,
1,AAR 001,159.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
2,AAR 002,159.810000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
3,AAR 003,159.930000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
4,AAR 004,160.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
5,AAR 005,160.185000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
6,AAR 006,160.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
7,AAR 007,160.215000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
8,AAR 008,160.230000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
9,AAR 009,160.245000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
10,AAR 010,160.260000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
11,AAR 011,160.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
12,AAR 012,160.290000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
13,AAR 013,160.305000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
14,AAR 014,160.320000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
15,AAR 015,160.335000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
16,AAR 016,160.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
17,AAR 017,160.365000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
18,AAR 018,160.380000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
19,AAR 019,160.395000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
20,AAR 020,160.410000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
21,AAR 021,160.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
22,AAR 022,160.440000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
23,AAR 023,160.455000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
24,AAR 024,160.470000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
25,AAR 025,160.485000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
26,AAR 026,160.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
27,AAR 027,160.515000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
28,AAR 028,160.530000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
29,AAR 029,160.545000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
30,AAR 030,160.560000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
31,AAR 031,160.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
32,AAR 032,160.590000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
33,AAR 033,160.605000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
34,AAR 034,160.620000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
35,AAR 035,160.635000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
36,AAR 036,160.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
37,AAR 037,160.665000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
38,AAR 038,160.680000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
39,AAR 039,160.695000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
40,AAR 040,160.710000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
41,AAR 041,160.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
42,AAR 042,160.740000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
43,AAR 043,160.755000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
44,AAR 044,160.770000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
45,AAR 045,160.785000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
46,AAR 046,160.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
47,AAR 047,160.815000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
48,AAR 048,160.830000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
49,AAR 049,160.845000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
50,AAR 050,160.860000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
51,AAR 051,160.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
52,AAR 052,160.890000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
53,AAR 053,160.905000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
54,AAR 054,160.920000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
55,AAR 055,160.935000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
56,AAR 056,160.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
57,AAR 057,160.965000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
58,AAR 058,160.980000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
59,AAR 059,160.995000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
60,AAR 060,161.010000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,25W,,,,,
