Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Call 80m,3.885,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,200W,,,,,
1,Call 40m,7.29,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,200W,,,,,
2,Call 20m,14.286,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,200W,,,,,
3,Call 10m,29.6,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,200W,,,,,
4,Call 6m,52.525,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,100W,,,,,
5,Call 2m,146.52,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,,,,,
6,Call 1.25m,223.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,,,,,
7,Call 70cm,446,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,,,,,
8,Call 33cm,927.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,,,,,
9,Call 23cm,1296.1,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
10,Call 13cm,2304.1,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
