Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CB 1,26.965,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
1,CB 2,26.975,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
2,CB 3,26.985,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
3,CB 4 OffRoad,27.005,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
4,CB 5,27.015,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
5,CB 6,27.025,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
6,CB 7,27.035,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
7,CB 8,27.055,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
8,CB 9 Emergency,27.065,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
9,CB 10 Trucker,27.075,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
10,CB 11,27.085,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
11,CB 12,27.105,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
12,CB 13 Recreational,27.115,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
13,CB 14 TalkAbout,27.125,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
14,CB 15,27.135,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
15,CB 16,27.155,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
16,CB 17 Trucker,27.165,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
17,CB 18,27.175,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
18,CB 19 Trucker,27.185,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
19,CB 20,27.205,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
20,CB 21 Trucker,27.215,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
21,CB 22,27.225,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
22,CB 23,27.255,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
23,CB 24,27.235,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
24,CB 25,27.245,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
25,CB 26,27.265,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
26,CB 27,27.275,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
27,CB 28,27.285,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
28,CB 29,27.295,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
29,CB 30,27.305,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
30,CB 31,27.315,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
31,CB 32,27.325,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
32,CB 33,27.335,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
33,CB 34,27.345,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
34,CB 35,27.355,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,4.0W,,,,,
35,CB 36 SSB,27.365,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,12W,,,,,
36,CB 37 SSB,27.375,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,12W,,,,,
37,CB 38 SSB,27.385,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,12W,,,,,
38,CB 39 SSB,27.395,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,12W,,,,,
39,CB 40 SSB,27.405,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,10,,12W,,,,,
