Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SEA 01A,156.05,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
1,SEA 05A,156.25,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
2,SEA 06,156.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
3,SEA 07A,156.35,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
4,SEA 08,156.4,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
5,SEA 09,156.45,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
6,SEA 10,156.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
7,SEA 11,156.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
8,SEA 12,156.6,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
9,SEA 13,156.65,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
10,SEA 14,156.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
11,SEA 15,156.75,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
12,SEA 16 Emergency,156.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
13,SEA 17 Government,156.85,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
14,SEA 18A,156.9,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
15,SEA 19A,156.95,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
16,SEA 20A,157,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
17,SEA 20DX,161.6,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
18,SEA 21A Coast Guard,157.05,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
19,SEA 22A Coast Guard,157.1,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
20,SEA 23A Coast Guard,157.15,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
21,SEA 24,161.8,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
22,SEA 25,161.85,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
23,SEA 26,161.9,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
24,SEA 27,161.95,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
25,SEA 28,162,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
26,SEA 63A,156.175,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
27,SEA 65A,156.275,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
28,SEA 66A,156.325,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
29,SEA 67,156.375,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
30,SEA 68,156.425,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
31,SEA 69,156.475,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
32,SEA 70,156.525,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
33,SEA 71,156.575,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
34,SEA 72,156.625,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
35,SEA 73,156.675,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,25W,,,,,
